Designator,Mid X,Mid Y,Rotation,Layer
B1,281.312858,-84.425356,102.0,top
D1,379.545507,-105.0,0.0,top
D10,322.929134,-94.824245,11.0,top
D11,319.685381,-78.136583,11.0,top
D12,316.441628,-61.448921,11.0,top
D13,305.138,-100.319148,12.0,top
D14,301.603501,-83.690639,12.0,top
D15,298.069003,-67.06213,12.0,top
D16,312.971997,-118.926616,27.0,top
D17,297.118407,-129.852818,42.0,top
D2,379.545507,-88.0,0.0,top
D3,379.545507,-71.0,0.0,top
D4,360.06815,-92.97261,6.0,top
D5,358.291166,-76.065737,6.0,top
D6,356.514182,-59.158865,6.0,top
D7,340.700064,-87.962829,9.0,top
D8,338.040679,-71.172127,9.0,top
D9,335.381293,-54.381426,9.0,top
JST1,319.578508,-103.662345,101.0,top
T1,269.497712,-87.024253,102.0,top
