Designator,Mid X,Mid Y,Rotation,Layer
CONN1,248.671071,-147.173356,120.0,top
D1,335.981682,-142.266772,170.0,top
D10,286.265994,-124.616873,179.0,top
D11,286.545231,-108.619314,179.0,top
D12,286.824471,-92.621745,179.0,top
D13,269.589988,-126.326476,180.0,top
D14,269.589984,-110.326475,180.0,top
D15,269.589987,-94.326479,180.0,top
D16,271.442939,-146.411662,195.0,top
D17,253.787097,-154.03457,210.0,top
D2,338.760051,-126.509848,170.0,top
D3,341.538423,-110.752925,170.0,top
D4,319.645179,-130.253551,174.0,top
D5,321.317635,-114.341203,174.0,top
D6,322.990089,-98.428848,174.0,top
D7,303.339522,-121.504644,177.0,top
D8,304.176897,-105.526569,177.0,top
D9,305.014271,-89.548499,177.0,top
S1,335.547562,-144.728793,350.0,top
S10,286.22236,-127.116493,359.0,top
S11,286.501601,-111.118929,359.0,top
S12,286.78084,-95.121364,359.0,top
S13,269.589983,-128.826477,0.0,top
S14,269.589984,-112.826476,0.0,top
S15,269.58999,-96.826475,0.0,top
S16,272.089983,-148.826477,15.0,top
S17,255.037096,-156.19963,30.0,top
S2,338.325933,-128.971868,350.0,top
S3,341.104303,-113.214942,350.0,top
S4,319.383855,-132.739855,354.0,top
S5,321.056307,-116.827505,354.0,top
S6,322.72877,-100.915153,354.0,top
S7,303.208681,-124.001217,357.0,top
S8,304.046057,-108.023148,357.0,top
S9,304.883433,-92.045074,357.0,top
T1,241.893875,-147.700276,120.0,top
